idTipoOs,tipoAtividade,resumo,n,media,moda,min,max,precoRecomendado,estrategia,noMapaToa
1,"1 - ADESAO - INSTALACAO DE ASSINATURA","ADESÃO",915,213.13,199.33,199.33,279.06,213.13,media_historica,true
24,"24 - MUDANCA DE PACOTE","MUDANÇA DE PACOTE",226,93.64,98.81,0,98.81,93.64,media_historica,true
191,"191 - INSTALACAO DE CABO GPON","SERVIÇOS",223,194.2,214.21,135.94,214.21,194.2,media_historica,true
43,"43 - ADESAO - INSTALAR PONTO VIRTUA","ADESÃO",147,211.68,199.33,199.33,414.61,211.68,media_historica,true
516,"516 - ADESAO ENTREGA STREAMING","ADESÃO",141,38.56,38.56,38.56,38.56,38.56,fixo,true
12,"12 - MUDANCA DE ENDERECO - INSTALAR ASSINATURA","MUDANÇA DE ENDEREÇO",106,184.16,174.78,174.78,269.89,184.16,media_historica,true
156,"156 - INSTALACAO WIFI MESH","SERVIÇOS",81,62.76,105.38,20.56,105.38,62.76,media_historica,true
176,"176 - REFAZER MANUTENCAO PON","SERVIÇOS",47,218.48,218.48,218.48,218.48,218.48,fixo,true
209,"209 - REFAZER MANUTENCAO","SERVIÇOS",41,218.48,218.48,218.48,218.48,218.48,fixo,true
148,"148 - TROCA DECODER PARA ATUALIZACAO DIGITAL","SERVIÇOS",33,92.8,98.81,59.14,98.81,92.8,media_historica,true
517,"517 - ADESAO ENTREGA ADC STREAMING","ADESÃO",28,38.56,38.56,38.56,38.56,38.56,fixo,true
44,"44 - INSTALAR PONTO VIRTUA","SERVIÇOS",19,175.56,172.76,172.76,199.33,175.56,media_historica,true
83,"83 - INSTALAR PONTO VOIP","SERVIÇOS",19,123.1,119.6,106.3,199.33,123.1,media_historica,true
514,"514 - MUDANCA DE ENDERECO - ENTREGA STREAMING","MUDANÇA DE ENDEREÇO",14,180.29,174.78,174.78,190.2,180.29,media_historica,true
15,"15 - MUDANCA DE LOCAL DE PONTO","SERVIÇOS",13,167.07,167.07,167.07,167.07,167.07,fixo,true
54,"54 - MUDANCA DE ENDERECO - INSTALAR ASSINATURA DIGITAL","MUDANÇA DE ENDEREÇO",13,205.77,207.55,195.98,207.55,205.77,media_historica,true
31,"31 - REFAZER INSTALACAO","SERVIÇOS",12,218.48,218.48,218.48,218.48,218.48,fixo,true
33,"33 - REINSTALACAO - ASSINATURA","SERVIÇOS",11,115.67,115.67,115.67,115.67,115.67,fixo,true
172,"172 - INST PONTO EXTENSAO REDE VIRTUA","SERVIÇOS",9,167.93,185.06,146.51,185.06,167.93,media_historica,true
55,"55 - MUDANCA ENDERECO - INSTALAR SERVICO CONEXAO ADIC DIG","",8,64.26,64.26,64.26,64.26,64.26,fixo,false
188,"188 - MANUTENCAO PREVENTIVA INDOOR I","VISITA TÉCNICA",7,100.97,128.51,-64.26,128.51,100.97,media_historica,true
59,"59 - REINSTALACAO - ASSINATURA DIGITAL","SERVIÇOS",6,115.67,115.67,115.67,115.67,115.67,fixo,true
51,"51 - ADESAO - INSTALACAO DE ASSINATURA DIGITAL","ADESÃO",5,257.8,279.06,199.33,279.06,257.8,media_historica,true
175,"175 - CONFIGURACAO STREAMING","STREAMING",5,77.11,77.11,77.11,77.11,77.11,fixo,true
53,"53 - INSTALAR SERVICO CONEXAO ADICIONAL DIGITAL","SERVIÇOS",4,146.17,146.17,146.17,146.17,146.17,fixo,true
56,"56 - MUDANCA DE LOCAL DE PONTO DIGITAL","SERVIÇOS",4,167.07,167.07,167.07,167.07,167.07,fixo,true
102,"102 - INSTALAR PONTO PORTABILIDADE","SERVIÇOS",4,139.53,119.6,119.6,199.33,139.53,media_historica,true
46,"46 - REINSTALACAO - PONTO ADICIONAL VIRTUA","SERVIÇOS",3,77.11,77.11,77.11,77.11,77.11,fixo,true
190,"190 - INSTALACAO DE CABO HFC","",3,162.03,135.94,135.94,214.21,162.03,media_historica,false
213,"213 - TROCA DE EQUIPAMENTO HD","SERVIÇOS",3,38.55,51.4,12.85,51.4,38.55,media_historica,true
240,"240 - INSTALAR TV BASE","SERVIÇOS",3,132.88,146.17,106.3,146.17,132.88,media_historica,true
4,"4 - RETIRAR PONTO","RETIRADA DE PONTO",2,25.71,25.71,25.71,25.71,25.71,fixo,true
94,"94 - REINSTALACAO - ASSINATURA VOIP","SERVIÇOS",2,102.82,102.82,102.82,102.82,102.82,fixo,true
149,"149 - INSTALAR CABEAMENTO MESH","",2,25.71,25.71,25.71,25.71,25.71,fixo,false
52,"52 - ADESAO - INSTALAR SERVICO CONEXAO ADICIONAL DIGITAL","",1,66.44,66.44,66.44,66.44,66.44,fixo,false
57,"57 - MUDANCA DE PACOTE DIGITAL","MUDANÇA DE PACOTE",1,98.81,98.81,98.81,98.81,98.81,fixo,true
95,"95 - ADESAO - INSTALAR PONTO VOIP","",1,199.33,199.33,199.33,199.33,199.33,fixo,false
